Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
17,Coverplay,4,1,104,Baby and Child Care,Amy Feldman and Allison Costa,"Los Angeles, CA",Los Angeles, CA,http://www.coverplayard.com/,350000,0.15,2333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"Coverplay is a slipcover for children's play yards. Much like a mattress, play yards can't be laundered, yet babies and children spend lots of time in them, so you can guess what that leads to. Coverplay to the rescue! Fitting snugly over most standard size play yards, Coverplay offers a quick solution to add another layer of protection between your child and the germ-harboring surface of the play yard. Made of 95% cotton and 5% Lycra, Coverplay is machine-washable and easy to maintain. Indeed, throwing a Coverplay slipcover into the wash is much easier than trying to remove a spill that's gone directly onto the play yard. With their bright and stylish designs, they'll also make any play yard look as good as new."
18,Coffee Brand Gifts,4,1,104,Novelties,Dan Claffey,"Dayton, OH",Dayton, OH,,300000,0.4,750000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"A company that owns the trademarks for the words ""Coffee,"" ""Cappuccino,"" ""Java"" and other highly-caffeinated words for use on plush toys."
19,Gift Card Rescue,4,1,104,Online Services,Kwami Kuadey,"Columbia, MD",Columbia, MD,http://www.giftcardrescue.com,150000,0.3,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,KOL+RH,Kevin O'Leary,Robert Herjavec,,,,FALSE,A web-based company that buys back and sells some of the 10% of all unused gift cards each year in the U.S.
20,Soul's Calling,4,1,104,Women's Accessories,Gina Catroneo,"Dallas, TX",Dallas, TX,,150000,0.25,600000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Inspirational gifts and accessories such as colorful umbrellas and sandals that leave messages in the sand.
21,My Therapy Journal,5,1,105,Online Services,Rodolfo and Alexis Saccoman,"Miami, FL",Miami, FL,http://www.mytherapyjournal.com,80000,0.2,400000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,KOL+RH,Kevin O'Leary,Robert Herjavec,,,,TRUE,An online journaling service focused on facilitating users' progress towards achieving and maintaining their emotional well-being.
22,Granola Gourmet,5,1,105,Specialty Food,Jeff Cohen,"Los Angeles, CA",Los Angeles, CA,http://www.granolagourmet.com/,175000,0.25,700000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"Granola Gourmet offers a line of granola bars that diabetics can safely enjoy. Unlike most granola bars on the market, Granola Gourmet's bars have a low glycemic index. Having a low glycemic index means that they are less prone to causing spikes in blood sugar, which aren't good for anybody and especially damaging for diabetics. Granola Gourmet's bars are made with ingredients that naturally have a low glycemic index, so they release their carbohydrates slowly into the bloodstream. Granola Gourmet products have been tested by GI Labs, which developed the glycemic index concept. They Ultimate Fudge Brownie bar has a glycemic index of just 23, well below the threshold to be considered low glycemic."
23,Body Jac,5,1,105,Fitness Equipment,Cactus Jack,"Ames, IA",Ames, IA,,180000,0.2,900000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,A fitness machine with a series of bands of varying weights to make pushups easier.
24,Good Grief Celebrations,5,1,105,Consumer Services,Rikki Farrar,"Philadelphia, PA",Philadelphia, PA,,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"A funeral concierge service that writes the eulogy, officiates the funeral service and handles all the post-funeral family gatherings."
25,Creative Blok,5,1,105,Novelties,Irena Blok,"San Francisco, CA",San Francisco, CA,,50000,0.3,166667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,A line of surgical masks designed to be more fashionable and fun.
26,Kalyx,6,1,106,Undergarments and Basics,Kimberly Cayce,"Charlotte, NC",Charlotte, NC,http://www.activewearusa.com/store/pc/Kalyx-Sport-Bras-c824.htm,125000,0.2,625000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Sports bras engineered to work with a woman's body based on the activity she enjoys.
