Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
116,The Last Lid,5,3,305,Storage and Cleaning Products,Kevin and Melissa Kiernan,"West Greenwich, RI",West Greenwich, RI,https://www.lastlid.com,40000,0.2,200000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,TRUE,"A water-resistant and, even better, racoon-resistant fabric cover for garbage bins of all sizes."
117,Ledge Pillow,5,3,305,Novelties,Amanda Schlechter,"West Palm Beach, FL",West Palm Beach, FL,,30000,0.25,120000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A wedge-styled pillow specially designed for women with large breasts so they can lie on their stomachs comfortably
118,Talbott Teas,5,3,305,Specialty Food,Steve Nakisher and Shane Talbott,"Emeryville, CA",Emeryville, CA,http://talbottteas.com/,250000,0.2,1250000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL,Kevin O'Leary,,,,,TRUE,Designer whole-leaf teas and accessories.
119,M3 Girl Designs,5,3,305,Baby and Children's Apparel and Accessories,"Maddie, Margot and Diane Bradshaw","Dallas, TX",Dallas, TX,http://www.snapcapsonline.com/,300000,0.15,2000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG+MC+RH,Mark Cuban,Robert Herjavec,,,,TRUE,Adjustable necklaces and bracelets with interchangeable accents for kids and adults of all ages.
120,Five-Minute Furniture,6,3,306,Furniture,Jared Joyce,"Bozeman, MT",Bozeman, MT,,250000,0.25,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Five-Minute Furniture is a system that allows for furniture that's easily assembled without hand tools, screws or bolts. Modular and customizable, the patented Five-Minute Furniture system comes in a variety of sizes, and allows users to built the furniture that best suits their living space. When not in use, it packs flat just as easily as it is assembled. Five-Minute Furniture was created by an architect who was inspired by a prefabricated bookshelf that caught his attention while he worked at a retail store."
121,The Painted Pretzel,6,3,306,Specialty Food,Raven Thomas,"Scottsdale, AZ",Scottsdale, AZ,http://www.thepaintedpretzel.com/,100000,0.25,400000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"The Painted Pretzel sells creative, gourmet chocolate-covered pretzel confections in brick-and-mortar retail stores and online. The business offers pretzel knots, pretzel rods, pretzel bark and and pretzel turtles in a variety of flavors and sizes, configured into bundles and samplers. The company has also expanded into corporate gifts, and they count numerous Fortune 500 companies among their customers. Since appearing on the show, The Painted Pretzel has also begun to do fundraising business. Organizations seeking to raise money can buy customized pretzels for resale towards their cause."
122,Esso Watches,6,3,306,Homeopathic Remedies,Ryan Naylor,"Phoenix, AZ",Phoenix, AZ,,35000,0.2,175000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Esso Watches are ionized wristwatches that claim to improve your body's energy field. Now branded TAGI Gear, the company currently sells TAGI watches that are made of silicone and still claim to be equipped with negative ion technology, although such claims appear to have taken a backseat to the aesthetic appeal of the watches. There are two TAGI watch models: a digital version and an analog version. Both are water resistant and available in a number of fun color choices."
123,ReadeREST,6,3,306,Novelties,Rick Hopper,"Flower Mound, TX",Flower Mound, TX,http://www.readerest.com,150000,0.15,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"ReadeREST is a magnetized clip that holds your eyewear when it's not in use. It works for reading glasses, sunglasses, and even some non-eyewear items that you might need to keep close at hand, like your work ID or maybe a pen. You can skip the granny chains and the lanyards and simply attach your ReadeREST to any shirt. The strong magnets will keep the clip securely in its place, while the V-shape provides a convenient resting place for those items that are always going astray."
124,The Heat Helper,7,3,307,Home Accessories,Lyle Schuette,"Derby, KS",Derby, KS,https://www.heat-helper.com/,100000,0.5,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Redirects the hot air from any home clothes dryer back into the house, rather than outside, where it helps keep the warmth during cold months."
125,The Smart Baker,7,3,307,Kitchen Tools,Stephanie and Daniel Rensing,"Rockledge, FL",Rockledge, FL,http://www.thesmartbaker.com/,75000,0.25,300000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"The Smart Baker is known for their insightfully helpful kitchen tools. The company is known for their collapsible cupcake stands, which display up to 100 cupcakes and stores flat when not in use. These cupcake stands are also adjustable, so you can adapt your configuration based on how many treats you plan to serve. The Smart Baker has also brought us pre-cut parchment paper, which you can purchase in round or rectangular shapes according to the molds you'll be using them in. These super helpful pre-cut sheets are outfitted with tabs that poke out the sides, which you can use to lift your cake out of the mold when done. You might also know The Smart Baker for their cheat sheet aprons, which are adorned with useful measuring and conversion tables. These aprons can save you from stains, spills, and measuring mistakes."
126,ScotteVest,7,3,307,Men and Women's Apparel,Scott Jordan,"Ketchum, ID",Ketchum, ID,http://www.scottevest.com/,500000,0.15,3333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"ScotteVest stands for travel-ready apparel and accessories for men and women. The ScotteVest signature product feature is pockets, lots of pockets for storing and stashing essentials when you're on the go. ScotteVest takes pockets so seriously, in fact, that the number of pockets in each article is listed up front alongside the pricing in their online store. Although the company initially focused on vests, of course, its offerings have gradually expanded to include products such as hoodies, shirts, polos, hats, and even boxers. Overwhelmed by the options? The online store even has a ""Help Me Decide"" feature to make product comparisons easier."
127,Kisstixx,7,3,307,Personal Care and Cosmetics,Dallas Robinson and Mike Buonomo,"Orem, UT",Orem, UT,http://kisstixx.com/,200000,0.2,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,"Kisstixx is a fun lip balm that comes in pairs according to compatible flavors. Each Kisstixx lipstick (try saying that three times fast) packs a punch of flavor, and they're paired to mix well when they come together in a kiss. Best of all, this lip balm keeps your lips protected and moisturized. Wear it every day to stay at your most kissable!"
128,Nardo's Natural,8,3,308,Personal Care and Cosmetics,"Kyle, KJ, Danny and DJ Nardo","Clearwater, FL",Clearwater, FL,http://www.nardosnatural.com/,75000,0.12,625000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"Nardo's Natural is a line of premium-quality organic skin care products proudly made in the USA. Their products range from facial care, to body care, to make-up, and even a line just for men. Always made with premium materials, you'll find things like coconut oil, shea butter, bentonite clay, acai berry and pomegranate among the ingredients. Just as important is what you won't find: all Nardo's Natural products are free of parabens, dyes, gluten or harsh chemicals. Nardo's Natural offers facial cleansers, anti-aging creams, make-up, body washes, exfoliants, moisturizers, and even after shave. The company also offers private label and contract manufacturing services for businesses and up-and-coming cosmetics businesses."
129,Litter,8,3,308,Women's Accessories,Rachel Mann and Mackenzie Burdick,"San Francisco, CA",San Francisco, CA,http://littersf.com/,80000,0.51,156863,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+MC,Mark Cuban,Daymond John,,,,TRUE,"Fashion-forward and edgy jewelry such as headpieces, body jewelry, and shoe jewelry."
130,The Original Profender,8,3,308,Fitness Equipment,Tony Devine,"Bristol, PA",Bristol, PA,http://www.theoriginalprofender.com/,75000,0.15,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A mobile training device that simulates a basketball defender.
131,Rent-A-Grandma,8,3,308,Consumer Services,Todd Colby Pliss,"Los Angeles, CA",Los Angeles, CA,http://rentagrandma.com/,150000,0.2,750000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A way to connect trustworthy senior citizens with customers seeking childcare and other household services.
132,Instant Thigh Lift,9,3,309,Personal Care and Cosmetics,Nick and Penilopee Larosa,"Tampa, FL",Tampa, FL,http://www.instantthighlift.com/,100000,0.25,400000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,"A clear adhesive that lifts and repositions the skin to miminize sagging and cellulite, making thighs look firm and tight."
133,MisoMedia,9,3,309,Music,Aviv Grill,"Santa Monica, CA",Santa Monica, CA,,300000,0.05,6000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"Educational software that teaches people how to play the guitar, ukulele, banjo and other instruments."
134,Tower Paddle Boards,9,3,309,Outdoor Recreation,Stephan Aarstol,"San Diego, CA",San Diego, CA,http://www.towerpaddleboards.com/,150000,0.1,1500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,Stand-up paddle boarding products.
135,Vinamor,9,3,309,Wine Accessories,Gary DeJohn,"Greeley, CO",Greeley, CO,http://www.thevinamor.com/,75000,0.3,250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A strainer designed to aerate wine as it is poured into the glass.
136,The Ave Venice,10,3,310,Men and Women's Shoes,Nick Romero,"Venice Beach, CA",Venice Beach, CA,http://www.theavevenice.com/,125000,0.15,833333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A service that creates customized articles of clothing.
137,Brewer's Cow Ice Cream,10,3,310,Specialty Food,"Steve Albert, Larry Blackwell and Jason Conroy","Manchester, CT",Manchester, CT,http://www.thebrewerscow.com/,125000,0.15,833333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,Beer-infused ice cream.
138,GoGoGear,10,3,310,Men and Women's Apparel,Arlene Battishill and Desiree Estrada,"Los Angeles, CA",Los Angeles, CA,http://www.gogogearla.com/,300000,0.15,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,TRUE,A line of fully-protective and fashionable safety gear for people who ride scooters and motorcycles.
139,Barkem's To Go,10,3,310,Pet Products,Blake St. Clair,"Oxnard, CA",Oxnard, CA,http://www.barkems.com/,100000,0.51,196078,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Prepackaged meal for pets, featuring separate compartments containing full servings of premium food portioned accordingly for different sizes and species of pets."
140,The Sullivan Generator,11,3,311,Novelties,Mark Sullivan,"San Antonio, TX",San Antonio, TX,http://marksullivanresearch.com,1000000,0.1,10000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,An electric generator that claims to harnesses the spin of the earth and produces gold as a waste product.
141,ViewSport,11,3,311,Fitness Apparel and Accessories,Ben Wood,"Rochester, NY",Rochester, NY,http://www.viewsport.us,500000,0.2,2500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Motivating workout apparel, featuring secret logos that are made visible by the wearer's perspiration."
142,Blondies Cookies,11,3,311,Specialty Food,"Brenda ""Blondie"" Coffman","Greentown, IN",Greentown, IN,http://www.blondiescookies.com/,200000,0.03,6666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"A company that handcrafts 25 varieties cookies and brownies, which are sold to corporate customers and in the company's own retail stores."
143,Debbie Brooks Handbags,12,3,312,Women's Accessories,Paul d'Auriac and Debbie Brooks,"New York, NY",New York, NY,http://www.debbiebrooks.com/,540000,0.2,2700000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,"A line of fashionable handbags featuring ""magna-fab"", a removable magnet that attaches to the front of the bag, allowing for the design to be changed up."
144,Nail Pak,12,3,312,Personal Care and Cosmetics,Barbara Lampugnale,"West Hartford, CT",West Hartford, CT,http://dualitycosmetics.com/,50000,0.2,250000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"NailPak by Duality Cosmetics is the most portable manicure solution and a touching story. A mother's bonding ritual with her daughters turned commercial success, NailPak came from their evenings together spent doing each others' nails. They came up with NailPak, a self-contained package that combines nail polish and polish remover along with pads and a file."
145,Lollacup,12,3,312,Baby and Child Care,Hanna Lim,"Monrovia, CA",Monrovia, CA,http://www.lollaland.com/,100000,0.15,666667,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC+RH,Mark Cuban,Robert Herjavec,,,,FALSE,"Lollacup is one well-engineered sippy cup. It comes with a valve-free, weighted straw that small children can easily learn to drink from, even when Lollacup is tilted. The cup also has handles for easy gripping, but they are removable in case Lollacup needs to be put into a cupholder. Made in the USA, Lollacup is also dishwasher safe and made with materials that are FDA-approved to be used by young children."
146,Trimi Tanks,12,3,312,Women's Apparel,Nicole Bilsky and Lindsay Johnson,"Pittsburgh, PA",Pittsburgh, PA,http://www.trimitank.com/,57000,0.3,190000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,Tank tops with interchangeable straps.
147,Boot Illusions,13,3,313,Women's Shoes,Andrew Goodrum and Queenie Davis,"Atlanta, GA",Atlanta, GA,,100000,0.3,333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,Boots that transform into a shoe and back again. The removable (and interchangeable) boot uppers are attached to the shoe portion by a zipper.
148,Skyride,13,3,313,Outdoor Recreation,Scotty Olson,"New York, NY",New York, NY,http://skyridetechnology.com/,3000000,0.2,15000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A roller-coaster ride powered by the people riding it.
149,Villy Customs,13,3,313,Cycling,Fleetwood Hicks,"Dallas, TX",Dallas, TX,http://www.villycustoms.com/,500000,0.33,1515152,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC+MC,Barbara Corcoran,Mark Cuban,,,,FALSE,An online store for customizable bicycles.
150,AirBedz,13,3,313,Furniture,Jim Pittman,"La Mirada, CA",La Mirada, CA,http://www.truckairbedz.com/,250000,0.15,1666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"AirBedz are air mattresses purpose-built for use on the beds of pick-up trucks. An AirBedz air mattress will always fit perfectly on a truck bed thanks to specially-designed cutouts on each side, which fit snugly over the wheel wells. Available sizes to fit compact, mid and full-sized trucks, every AirBedz mattress also includes a built-in, battery-powered, rechargeable pump for easy inflation. The unique design of AirBedz maximizes the usable area on the truck bed, while the 12-inch thickness and integrated air coil system assures comfort."
151,Billy Blanks Jr.'s Dance With Me,14,3,314,Fitness Programs,"Billy Blanks, Jr.","Los Angeles, CA",Los Angeles, CA,http://www.meettheblanks.com/,100000,0.2,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+MC,Mark Cuban,Daymond John,,,,FALSE,"A fun, all-inclusive dance workout for people of all ages, shapes and sizes."
152,Mix Bikini,14,3,314,Women's Apparel,Frank Scozzafava and Adam DiSilvestro,"New York, NY",New York, NY,,50000,0.05,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,Interchangeable swimsuit separates designed to be mixed up.
153,CAB-20 Rock Band,14,3,314,Entertainment,Tom Callahan,"El Segundo, CA",El Segundo, CA,http://mockrecords.com/cab-20,200000,0.2,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A rock band.
154,Wild Squirrel Nut Butter,14,3,314,Specialty Food,Erika Welsh and Keeley Tillotson,"Portland, OR",Portland, OR,https://www.wildfriendsfoods.com/,50000,0.1,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"Now doing business under the Wild Friends brand, these enterprising college students went into the tank with their wholesome and creatively flavored line of nut butters. Their all-natural nut butters come in delightful flavor combinations such as honey pretzel, cinnamon raisin, sesame cranberry, chocolate coconut, and vanilla espresso. Can't decide on a nut butter? Wild Friends offers variety packs. Want your nut butters on the go? They come in travel-friendly single serve sizes too. These days, Wild Friends sells their peanut butter, almond butter, and sunbutter products online and in major food retailers across the US."
155,Cougar Energy,15,3,315,Non-Alcoholic Beverages,Ryan Custer,"Roanoke, TX",Roanoke, TX,http://drinkcougar.com/,150000,0.3,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,An energy drink marketed to women over the age of 35.
156,Remyxx,15,3,315,Men and Women's Shoes,Gary Gagnon,"Charlotte, NC",Charlotte, NC,http://www.rekixx.com/,50000,0.1,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"Socially-conscious, recyclable sneakers."
157,Nitroforce Industries,15,3,315,Fitness Equipment,Frank Campitelli and Debrae Barensfeld,"Akron, OH",Akron, OH,http://www.thenitroforce.com/,250000,0.1,2500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,A home gym for a total body workout.
158,UniKey Technologies,15,3,315,Electronics,Phil Dumas,"Orlando, FL",Orlando, FL,http://www.unikey.com/,500000,0.33,1515152,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL+MC,Mark Cuban,Kevin O'Leary,,,,FALSE,UniKey provides a smart lock system called Kevo that works with smartphones and the specially-made Kevo fob.
159,Body Walking,1,4,401,Fitness Programs,Todd Miller,"Phoenix, AZ",Phoenix, AZ,http://www.bodywalking.com,100000,0.1,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A massage therapy system in which the therapist walks on the patient's back.
160,CoatChex,1,4,401,Consumer Services,Derek Pacque,"New York, NY",New York, NY,http://www.coatchex.com,200000,0.1,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A ticketless coat checking system for events.
161,Buggy Beds,1,4,401,Pest Control,Maria Curcio and Veronica Periongo,"Boston, MA",Boston, MA,http://www.buggybeds.com,125000,0.07,1785714,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC+DJ+KOL+MC+RH,Barbara Corcoran,Mark Cuban,Daymond John,Kevin O'Leary,Robert Herjavec,TRUE,Non-toxic bedbug glue traps.
162,Bev Buckle,1,4,401,Novelties,Jay Kriner,"Denver, CO",Denver, CO,http://www.thebeerbuckle.com,50000,0.1,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,FALSE,A belt featuring a buckle that opens to make a beverage holder.
163,eCreamery,2,4,402,Specialty Food,Abby Jordan and Becky App,"Omaha, NE",Omaha, NE,http://ecreamery.com/,250000,0.33,757576,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,"eCreamery makes small-batch ice cream, gelato, and sorbet in classic and experimental flavors alike. Aside from their brick-and-mortar location in Omaha, they also have a strong online presence, and will ship a pint of any flavor directly to your door. With eCreamery, the customer wields the scoop, so to speak. You can customize any order or even create your own flavor outright. eCreamery will hand-pack your frozen treat in pints or even batches of single-serve cups, with personalized labels of your choosing."
164,Alpha M,2,4,402,Consumer Services,Aaron Marino,"Atlanta, GA",Atlanta, GA,http://www.aaronmarino.com/,50000,0.1,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Alpha M is a program consisting of six DVDs that help men analyze and build the perfect basic wardrobe.
165,SurfSet Fitness,2,4,402,Fitness Programs,Mike Hartwick and Sarah Ponn,"Manchester, NH",Manchester, NH,http://www.surfsetfitness.com/,150000,0.1,1500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,Surf-inspired exercise equipment and group fitness classes.
166,CateApp,2,4,402,Mobile Apps,Neal Desai,"San Francisco, CA",San Francisco, CA,,50000,0.05,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+KOL,Daymond John,Kevin O'Leary,,,,FALSE,"A messaging app that hides a list of contacts that the user wants to keep secret, then intercepts calls and messages to and from those contacts."
167,Posture Now,3,4,403,Health and Well-Being,Mike Lane and Mark Franklin,"Portland, OR",Portland, OR,http://www.posturenow.com/,100000,0.15,666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,TRUE,A patent-pending strap that keeps the wearer's posture perfect.
168,FuzziBunz,3,4,403,Baby and Child Care,Tereson Dupuy,"Lafayette, LA",Lafayette, LA,http://fuzzibunz.com/,500000,0.15,3333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"A new kind of reusable diaper, made in a pocket style that holds a microfiber pad inside."
169,Rock Bands,3,4,403,Men and Women's Accessories,Lee Dahlberg,"Hollywood, FL",Hollywood, FL,http://www.leatherrockbands.com/,100000,0.2,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+MC,Mark Cuban,Daymond John,,,,FALSE,A way to wear healing stones around your wrist and make a fashion statement.
170,Liz Lovely Cookies,3,4,403,Specialty Food,Liz and Dan Holtz,"Waitsfield, VT",Waitsfield, VT,http://lizlovely.com/,200000,0.1,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,A brand of cookies that eschews traditional ingredients in favor of making them gluten-free and vegan.
171,Lift Hamper,4,4,404,Productivity Tools,Marvin Philip,"Salt Lake City, UT",Salt Lake City, UT,http://lifterhamper.com,85000,0.12,708333,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"A hamper with a bungee spring-loaded liner that drops when heavy clothes go in, but then springs back up when you take them out."
172,Back 9 Dips,4,4,404,Specialty Food,David & Nique Mealy,"Tampa, FL",Tampa, FL,http://www.back9dips.com,150000,0.15,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG+RH,Robert Herjavec,Lori Greiner,,,,FALSE,Back 9 Dips are buffalo chicken dips created with all white meat chicken breasts along with wing and dipping sauces.
173,Bag Bowl,4,4,404,Kitchen Tools,Brian and Kevin Fleming,"Kansas City, MO",Kansas City, MO,http://www.buybagbowl.com,40000,0.33,121212,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,An exoskeleton device that gives structure to any plastic zipper bag to create a handy and sturdy bowl.
174,Zomm,4,4,404,Mobile Apps,Henry Penix,"Tulsa, OK",Tulsa, OK,http://www.zomm.com,2000000,0.1,20000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A product that attaches to your keychain and warns if you've walked away from your phone.
175,Cozy Bugs,5,4,405,Baby and Children's Apparel and Accessories,Aly Lessor,"Los Angeles, CA",Los Angeles, CA,http://www.cozybugusa.com,50000,0.25,200000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"Pillowcase dresses that grow alongside kids, as they are tied with ribbons that allow their height to be adjusted."
176,The Spatty,5,4,405,Personal Care and Cosmetics,Cheryl Rigdon,"Easley, SC",Easley, SC,http://www.thespatty.com,50000,0.4,125000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Expensive beauty products get a little more affordable thanks to the Spatty, which helps ordinary people salvage 15% to 25% of their cosmetics. Without these handy little spatulas, you're likely throwing out as much as a quarter of the contents of your expensive makeup, eye cream, face lotion, and other beauty products. The Spatty comes in 6-inch and 12-inch sizes so it can reach into tight containers to rescue the contents that you've been unable to reach in and scoop out. Whether you're pinching pennies or just a conscious consumer, the Spatty quickly pays for itself!"
177,Marz Sprays,5,4,405,Homeopathic Remedies,Brandon and Keith Marz,"Los Angeles, CA",Los Angeles, CA,http://marzsprays.com,200000,0.1,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"If you don't like to swallow pills, you may feel like there aren't any wellness supplements out there for you. Marz Sprays came up with a solution. Their supplements are designed and packaged as oral sprays. Just a spritz in your mouth and you're good to go. Marz Sprays has five different sprays on offer: ReBoot, Restorative, C-Spray, Slim, and Juicy. C-Spray is their top-seller, a blend of Vitamin C, Vitamin B-12, Vitamin D, Echinacea and other ingredients chosen to boost the immune system. There are Marz Sprays to cover just about anything you might want out of a supplement. Sleep Spray helps you relax and have a restful slumber. ReBoot wakes you up with caffeine. Slim is formulated to help with weight loss. Meanwhile, Juicy is a more general multi-vitamin supplement that's designed to take in small, multiple doses throughout the day."
178,Wired Waffles,5,4,405,Specialty Food,Roger Sullivan,"Seattle, WA",Seattle, WA,http://www.wiredwaffles.com,75000,0.25,300000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"An energy drink made in the form of a waffle, featuring as much caffeine as a 20-oz cup of coffee."
179,Eco Nuts,6,4,406,Storage and Cleaning Products,Mona Weiss and Scott Shields,"Los Angeles, CA",Los Angeles, CA,http://econutssoap.com,175000,0.15,1166667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,"Mother Nature does it again! Eco Nuts is all-natural laundry detergent that grows on trees. Related to the lychee, soapnuts (also called soapberries) naturally produce a mild surfactant that can be used for laundering clothes. Used for thousands of years by people in Asia, where these shrubs and small trees are common, you can now purchase your own soapnuts for your own laundry! From Eco Nuts, you can purchase these soapberries ready to use, de-seeded and sterilized with no added chemicals. To use them, just toss a few Eco Nuts into the wash with your clothes, and let them do their work. Eco Nuts are certified USDA organic and reusable."
